pr_id,agent,repo_full_name,merge_commit_sha,test_files,is_vitest,pr_html_url,merged_at,is_human,mutation_tool,task_type,has_ci,has_container,c4_language,c1_ci,c2_tests_pass,c3_container,eligible,exclusion_reason
3214555104,Claude Code,mlflow/mlflow,9325e444ec074e4c1b636b52c6492217eec7bf23,"[""tests/dev/test_check_function_signatures.py""]",False,https://github.com/mlflow/mlflow/pull/16658,2025-07-11T05:13:35Z,False,mutmut,feat,True,True,True,True,True,True,True,
3219880512,Claude Code,Significant-Gravitas/AutoGPT,0f2b7dd11d16aab25fa9865c6799752c0daa8781,"[""autogpt_platform/backend/test/blocks/test_gcs_file_store.py"", ""autogpt_platform/backend/test/blocks/test_gcs_file_store.py"", ""autogpt_platform/backend/backend/server/routers/file_upload_test.py"", ""autogpt_platform/backend/backend/util/cloud_storage_test.py"", ""autogpt_platform/backend/backend/util/file_cloud_test.py"", ""autogpt_platform/backend/test/blocks/test_gcs_file_store.py"", ""autogpt_platform/backend/backend/blocks/test/test_block.py"", ""autogpt_platform/backend/backend/blocks/test/test_http.py"", ""autogpt_platform/backend/backend/blocks/test/test_smart_decision_maker.py"", ""autogpt_platform/backend/backend/conftest.py"", ""autogpt_platform/backend/backend/data/credit_test.py"", ""autogpt_platform/backend/backend/data/graph_test.py"", ""autogpt_platform/backend/backend/data/model_test.py"", ""autogpt_platform/backend/backend/executor/manager_test.py"", ""autogpt_platform/backend/backend/executor/scheduler_test.py"", ""autogpt_platform/backend/backend/executor/util_test.py"", ""autogpt_platform/backend/backend/server/conn_manager_test.py"", ""autogpt_platform/backend/backend/server/routers/analytics_improved_test.py"", ""autogpt_platform/backend/backend/server/routers/analytics_parametrized_test.py"", ""autogpt_platform/backend/backend/server/routers/v1_test.py"", ""autogpt_platform/backend/backend/server/test_fixtures.py"", ""autogpt_platform/backend/backend/server/v2/library/db_test.py"", ""autogpt_platform/backend/backend/server/v2/library/routes_test.py"", ""autogpt_platform/backend/backend/server/v2/otto/routes_test.py"", ""autogpt_platform/backend/backend/server/v2/store/db_test.py"", ""autogpt_platform/backend/backend/server/ws_api_test.py"", ""autogpt_platform/backend/backend/util/decorator_test.py"", ""autogpt_platform/backend/backend/util/request_test.py"", ""autogpt_platform/backend/backend/util/retry_test.py"", ""autogpt_platform/backend/backend/util/service_test.py"", ""autogpt_platform/backend/backend/util/type_test.py"", ""autogpt_platform/backend/backend/util/virus_scanner_test.py"", ""autogpt_platform/backend/clean_test_db.py"", ""autogpt_platform/backend/run_test_data.py"", ""autogpt_platform/backend/run_tests.py"", ""autogpt_platform/backend/test/block/test_block.py"", ""autogpt_platform/backend/test/sdk/conftest.py"", ""autogpt_platform/backend/test/sdk/test_sdk_block_creation.py"", ""autogpt_platform/backend/test/sdk/test_sdk_patching.py"", ""autogpt_platform/backend/test/sdk/test_sdk_registry.py"", ""autogpt_platform/backend/test/sdk/test_sdk_webhooks.py"", ""autogpt_platform/backend/test/test_data_creator.py"", ""autogpt_platform/backend/test/test_data_updater.py"", ""autogpt_platform/backend/test/util/test_decorator.py"", ""autogpt_platform/backend/backend/blocks/test/test_block.py"", ""autogpt_platform/backend/backend/blocks/test/test_http.py"", ""autogpt_platform/backend/backend/blocks/test/test_smart_decision_maker.py"", ""autogpt_platform/backend/backend/conftest.py"", ""autogpt_platform/backend/backend/data/credit_test.py"", ""autogpt_platform/backend/backend/data/graph_test.py"", ""autogpt_platform/backend/backend/data/model_test.py"", ""autogpt_platform/backend/backend/executor/manager_test.py"", ""autogpt_platform/backend/backend/executor/scheduler_test.py"", ""autogpt_platform/backend/backend/executor/util_test.py"", ""autogpt_platform/backend/backend/server/conn_manager_test.py"", ""autogpt_platform/backend/backend/server/routers/analytics_improved_test.py"", ""autogpt_platform/backend/backend/server/routers/analytics_parametrized_test.py"", ""autogpt_platform/backend/backend/server/routers/v1_test.py"", ""autogpt_platform/backend/backend/server/test_fixtures.py"", ""autogpt_platform/backend/backend/server/v2/library/db_test.py"", ""autogpt_platform/backend/backend/server/v2/library/routes_test.py"", ""autogpt_platform/backend/backend/server/v2/otto/routes_test.py"", ""autogpt_platform/backend/backend/server/v2/store/db_test.py"", ""autogpt_platform/backend/backend/server/ws_api_test.py"", ""autogpt_platform/backend/backend/util/cloud_storage_test.py"", ""autogpt_platform/backend/backend/util/decorator_test.py"", ""autogpt_platform/backend/backend/util/request_test.py"", ""autogpt_platform/backend/backend/util/retry_test.py"", ""autogpt_platform/backend/backend/util/service_test.py"", ""autogpt_platform/backend/backend/util/type_test.py"", ""autogpt_platform/backend/backend/util/virus_scanner_test.py"", ""autogpt_platform/backend/clean_test_db.py"", ""autogpt_platform/backend/run_test_data.py"", ""autogpt_platform/backend/run_tests.py"", ""autogpt_platform/backend/test/block/test_block.py"", ""autogpt_platform/backend/test/sdk/conftest.py"", ""autogpt_platform/backend/test/sdk/test_sdk_block_creation.py"", ""autogpt_platform/backend/test/sdk/test_sdk_patching.py"", ""autogpt_platform/backend/test/sdk/test_sdk_registry.py"", ""autogpt_platform/backend/test/sdk/test_sdk_webhooks.py"", ""autogpt_platform/backend/test/test_data_creator.py"", ""autogpt_platform/backend/test/test_data_updater.py"", ""autogpt_platform/backend/test/util/test_decorator.py"", ""autogpt_platform/backend/backend/server/routers/file_upload_test.py"", ""autogpt_platform/backend/backend/server/routers/v1_test.py"", ""autogpt_platform/backend/backend/server/v2/store/media_test.py"", ""autogpt_platform/backend/backend/util/cloud_storage_test.py"", ""autogpt_platform/backend/backend/util/file_test.py"", ""autogpt_platform/backend/backend/server/routers/v1_test.py"", ""autogpt_platform/backend/backend/server/routers/v1_test.py"", ""autogpt_platform/backend/backend/util/file_test.py"", ""autogpt_platform/backend/backend/server/routers/v1_test.py"", ""autogpt_platform/backend/backend/blocks/test/test_http.py"", ""autogpt_platform/backend/backend/server/routers/v1_test.py"", ""autogpt_platform/backend/backend/util/cloud_storage_test.py"", ""autogpt_platform/backend/test/blocks/test_gmail.py"", ""autogpt_platform/backend/test/blocks/test_gmail.py"", ""autogpt_platform/backend/test/e2e_test_data.py""]",False,https://github.com/Significant-Gravitas/AutoGPT/pull/10340,2025-07-18T03:20:54Z,False,mutmut,feat,True,True,True,True,True,True,True,
3246684833,Claude Code,numbagg/numbagg,7d9837b2be950ea85603bccba1775fe083edf851,"[""numbagg/test/conftest.py"", ""numbagg/test/test_matrix_functions.py"", ""numbagg/test/test_moving.py"", ""numbagg/test/test_nancorrmatrix.py"", ""numbagg/test/test_nancovmatrix.py"", ""numbagg/test/test_benchmark.py"", ""numbagg/test/test_benchmark.py""]",False,https://github.com/numbagg/numbagg/pull/388,2025-07-20T21:36:10Z,False,mutmut,feat,True,True,True,True,True,True,True,
3246764807,Claude Code,numbagg/numbagg,949d3f591a5383873f5882df0290efa279f49d1d,"[""numbagg/test/test_move_exp_matrix.py"", ""numbagg/test/test_move_exp_matrix_advanced.py"", ""numbagg/test/test_move_exp_matrix_consistency.py""]",False,https://github.com/numbagg/numbagg/pull/390,2025-07-20T23:40:21Z,False,mutmut,feat,True,True,True,True,True,True,True,
3246796582,Claude Code,numbagg/numbagg,d0f0a2b76918af1f26c430034c03bdb45624441d,"[""numbagg/test/test_move_exp_matrix_advanced.py""]",False,https://github.com/numbagg/numbagg/pull/391,2025-07-20T23:57:18Z,False,mutmut,fix,True,True,True,True,True,True,True,
3142373237,Claude Code,dai-motoki/haconiwa,acad7aa26a282fab43dd0a21f76277dcc8ee5539,"[""tests/test_scan/test_cli.py"", ""tests/test_scan/test_generate_parallel.py"", ""tests/test_scan/test_scanner.py"", ""test_all_commands.py"", ""tests/test_parallel_dev.py"", ""tests/unit/test_haconiwa_directory_structure.py""]",False,https://github.com/dai-motoki/haconiwa/pull/5,2025-06-13T10:34:12Z,False,mutmut,feat,True,True,True,True,True,True,True,
3250173556,Claude Code,numbagg/numbagg,cdfcac7625e519e34d007bef0ed791910130c76e,"[""numbagg/test/conftest.py"", ""numbagg/test/test_benchmark.py"", ""numbagg/test/test_moving.py"", ""numbagg/test/test_benchmark.py"", ""numbagg/test/conftest.py"", ""numbagg/test/test_benchmark.py"", ""numbagg/test/test_moving.py""]",False,https://github.com/numbagg/numbagg/pull/393,2025-07-22T00:51:53Z,False,mutmut,feat,True,True,True,True,True,True,True,
3250200794,Claude Code,numbagg/numbagg,902efeb459e447fc4faf068af991ea5cada01b51,"[""numbagg/test/conftest.py"", ""numbagg/test/test_matrix_functions.py"", ""numbagg/test/test_move_exp_matrix.py"", ""numbagg/test/test_move_exp_matrix_advanced.py"", ""numbagg/test/test_move_exp_matrix_consistency.py"", ""numbagg/test/test_moving.py""]",False,https://github.com/numbagg/numbagg/pull/394,2025-07-21T22:29:10Z,False,mutmut,refactor,True,True,True,True,True,True,True,
3086930190,Claude Code,567-labs/kura,2f6c08177a8ad7b2564fa9253ecd2aa4739b88c7,"[""tutorial_test/test_tutorial.py"", ""kura/explorer/backend/debug_scripts/test_cluster_debug.py"", ""kura/explorer/backend/test_api.py"", ""kura/explorer/backend/tests/conftest.py"", ""kura/explorer/backend/tests/test_cluster_conversation_relationship.py"", ""kura/explorer/backend/tests/test_clusters.py"", ""kura/explorer/backend/tests/test_conversations.py"", ""kura/explorer/backend/tests/test_database_integrity.py"", ""kura/explorer/backend/tests/test_integration_clusters.py"", ""kura/explorer/backend/tests/test_main.py"", ""kura/explorer/backend/tests/test_runner.py"", ""kura/explorer/backend/tests/test_search.py"", ""tutorial_test/test_tutorial.py"", ""kura/explorer/backend/debug_scripts/test_cluster_debug.py"", ""kura/explorer/backend/test_api.py"", ""kura/explorer/backend/tests/conftest.py"", ""kura/explorer/backend/tests/test_cluster_conversation_relationship.py"", ""kura/explorer/backend/tests/test_clusters.py"", ""kura/explorer/backend/tests/test_conversations.py"", ""kura/explorer/backend/tests/test_database_integrity.py"", ""kura/explorer/backend/tests/test_integration_clusters.py"", ""kura/explorer/backend/tests/test_main.py"", ""kura/explorer/backend/tests/test_runner.py"", ""kura/explorer/backend/tests/test_search.py"", ""tutorial_test/test_tutorial.py""]",False,https://github.com/567-labs/kura/pull/53,2025-05-26T08:46:01Z,False,mutmut,feat,True,True,True,True,True,True,True,
3164250713,Claude Code,BeehiveInnovations/zen-mcp-server,5cd93974e23df2e6b27eb965b730b26948bbf26a,"[""simulator_tests/conversation_base_test.py"", ""simulator_tests/test_debugworkflow_validation.py"", ""test_simulation_files/test_module.py"", ""tests/test_server.py"", ""simulator_tests/test_debugworkflow_validation.py"", ""test_workflow_file_context.py"", ""simulator_tests/test_debug_validation.py"", ""simulator_tests/test_debugworkflow_validation.py"", ""test_workflow_file_context.py"", ""tests/test_debug.py"", ""tests/test_debug_certain_confidence.py"", ""tests/test_debug_comprehensive_workflow.py"", ""tests/test_debug_continuation.py"", ""simulator_tests/test_plannerworkflow_validation.py"", ""tests/test_debug.py"", ""simulator_tests/conversation_base_test.py"", ""simulator_tests/test_debug_validation.py"", ""simulator_tests/test_planner_validation.py"", ""simulator_tests/test_planner_validation_old.py"", ""simulator_tests/test_plannerworkflow_validation.py"", ""test_workflow_file_context.py"", ""tests/test_auto_model_planner_fix.py"", ""tests/test_debug.py"", ""tests/test_planner.py"", ""simulator_tests/test_precommitworkflow_validation.py"", ""test_simulation_files/test_module.py"", ""simulator_tests/test_precommitworkflow_validation.py"", ""test_simulation_files/test_module.py"", ""tests/test_conversation_field_mapping.py"", ""tests/test_large_prompt_handling.py"", ""tests/test_line_numbers_integration.py"", ""tests/test_per_tool_model_defaults.py"", ""tests/test_precommit.py"", ""tests/test_precommit_diff_formatting.py"", ""tests/test_precommit_line_numbers.py"", ""tests/test_precommit_with_mock_store.py"", ""tests/test_precommit_workflow.py"", ""tests/test_prompt_regression.py"", ""simulator_tests/test_codereviewworkflow_validation.py"", ""simulator_tests/test_codereview_validation.py"", ""tests/test_conversation_field_mapping.py"", ""tests/test_per_tool_model_defaults.py"", ""tests/test_precommit_workflow.py"", ""tests/test_prompt_regression.py"", ""tests/test_tools.py"", ""simulator_tests/test_refactorworkflow_validation.py"", ""simulator_tests/test_refactor_validation.py"", ""simulator_tests/test_refactorworkflow_validation.py"", ""tests/test_refactor.py"", ""simulator_tests/test_thinkdeepworkflow_validation.py"", ""tests/test_workflow_file_embedding.py"", ""tests/test_workflow_file_embedding.py"", ""simulator_tests/test_thinkdeep_validation.py"", ""tests/test_workflow_file_embedding.py"", ""simulator_tests/test_analyzeworkflow_validation.py"", ""simulator_tests/test_analyze_validation.py"", ""tests/test_auto_mode.py"", ""simulator_tests/test_analyze_validation.py"", ""tests/test_collaboration.py"", ""tests/test_conversation_field_mapping.py"", ""tests/test_conversation_memory.py"", ""tests/test_large_prompt_handling.py"", ""tests/test_prompt_regression.py"", ""tests/test_tools.py"", ""tests/test_collaboration.py"", ""tests/test_conversation_field_mapping.py"", ""tests/test_per_tool_model_defaults.py"", ""tests/test_refactor.py"", ""tests/test_tools.py"", ""tests/test_collaboration.py"", ""tests/test_large_prompt_handling.py"", ""tests/test_prompt_regression.py"", ""tests/test_workflow_file_embedding.py"", ""tests/test_collaboration.py"", ""tests/test_consensus.py"", ""tests/test_large_prompt_handling.py"", ""tests/test_model_enumeration.py"", ""tests/test_per_tool_model_defaults.py"", ""tests/test_special_status_parsing.py"", ""tests/test_consensus.py"", ""tests/test_line_numbers_integration.py"", ""tests/test_model_enumeration.py"", ""tests/test_testgen.py"", ""tests/test_tools.py"", ""tests/test_model_enumeration.py"", ""simulator_tests/test_testgenworkflow_validation.py"", ""simulator_tests/test_testgen_validation.py"", ""simulator_tests/test_testgenworkflow_validation.py"", ""tests/test_line_numbers_integration.py"", ""tests/test_testgen.py"", ""tests/test_tools.py"", ""tests/test_collaboration.py"", ""simulator_tests/base_test.py"", ""simulator_tests/test_cross_tool_continuation.py"", ""simulator_tests/test_per_tool_deduplication.py"", ""tests/test_collaboration.py"", ""simulator_tests/test_analyze_validation.py"", ""simulator_tests/test_precommitworkflow_validation.py"", ""simulator_tests/test_refactor_validation.py"", ""simulator_tests/test_thinkdeep_validation.py""]",False,https://github.com/BeehiveInnovations/zen-mcp-server/pull/95,2025-06-20T20:08:11Z,False,mutmut,feat,True,True,True,True,True,True,True,
