repo_full_name,pr_id,sha,status,error_msg,worktree_path
3rdIteration/btcrecover,3254157364,b478123470f28d66da4c3b35be4f4bedee631f96,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\3rdIteration__btcrecover__b478123
567-labs/instructor,3240533897,64b26da4ae1acd6be60c8957d7d18262eed2534d,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\567-labs__instructor__64b26da
567-labs/instructor,3084795047,21242791a68909798d1e8cf6a1b98c237ba52ce5,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\567-labs__instructor__2124279
567-labs/instructor,3094439662,90703474cd0b855b3b8b3ac89bf679974b88f295,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\567-labs__instructor__9070347
567-labs/instructor,3094442612,722418d181ceb67af4926994f5ded00e38598b8c,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\567-labs__instructor__722418d
567-labs/instructor,3253313679,984c5a29471eafab142dd1cb7258e00e68510b31,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\567-labs__instructor__984c5a2
567-labs/instructor,3210213419,4bcf0a777046062ced97aa654a5cafa25f8d7c02,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\567-labs__instructor__4bcf0a7
567-labs/instructor,2537575913,nan,checkout_error,merge_commit_sha ausente,
567-labs/instructor,2298301775,nan,checkout_error,merge_commit_sha ausente,
567-labs/instructor,2562167965,nan,checkout_error,merge_commit_sha ausente,
567-labs/instructor,2400261241,nan,checkout_error,merge_commit_sha ausente,
567-labs/instructor,2608245390,nan,checkout_error,merge_commit_sha ausente,
567-labs/kura,3086930190,2f6c08177a8ad7b2564fa9253ecd2aa4739b88c7,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\567-labs__kura__2f6c081
AgentOps-AI/agentops,3238383944,16dee8c91abbc51538b46ec8e551e440a952625b,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\AgentOps-AI__agentops__16dee8c
AgentOps-AI/agentops,3207286828,e2af374f59414a3f5d80ebf8b6df7e6636155ebd,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\AgentOps-AI__agentops__e2af374
AgentOps-AI/agentops,2794323375,6e4d965b09bb15c4ef5dfca86d7e070647d5e8b6,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\AgentOps-AI__agentops__6e4d965
AgentOps-AI/agentops,2895754600,cf5be5701e0571e0b313994ec89d5698c2d2a17c,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\AgentOps-AI__agentops__cf5be57
AgentOps-AI/agentops,2390024977,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2389334004,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2514880669,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2389891260,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2282594982,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2454776899,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2368306114,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2394800356,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2494695958,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2389875437,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2448591120,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2391540821,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2552315306,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2520130599,nan,checkout_error,merge_commit_sha ausente,
AgentOps-AI/agentops,2448959577,nan,checkout_error,merge_commit_sha ausente,
Azure-Samples/rag-postgres-openai-python,3258694358,967a13a5ad6deb808c093519c50ccfe1828d4ae6,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\Azure-Samples__rag-postgres-openai-python__967a13a
Azure/azure-kusto-python,3076401687,ecaeff5f2023861e2cb7faceaa4dee8c2247a239,ok,,C:\Users\Icaro\Documents\projetos-google-cli\AI_Teammates_in_SE3\repos\Azure__azure-kusto-python__ecaeff5
